Track name,Artist name,Album,Playlist name,Type
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,Swim ,playlist
Cutthroat,Imagine Dragons,Follow You / Cutthroat - Single,Swim ,playlist
Strip That Down (feat. Quavo),Liam Payne,Strip That Down (feat. Quavo) - Single,Swim ,playlist
One Man Band,Old Dominion,Old Dominion,Swim ,playlist
Oh My God,Adele,30,Swim ,playlist
Heat Waves,Glass Animals,Dreamland,Swim ,playlist
Enemy (From the series "Arcane League of Legends"),Imagine Dragons, JID & League of Legends,Enemy (From the series "Arcane League of Legends") - Single,Swim ,playlist
Something to Someone,Dermot Kennedy,Something to Someone - Single,Swim ,playlist
I Ain't Worried,OneRepublic,Top Gun: Maverick (Music from the Motion Picture),Swim ,playlist
Bones,Imagine Dragons,Bones - Single,Swim ,playlist
Sweet Annie,Zac Brown Band,Uncaged,Swim ,playlist
Catching Feelings (feat. SIX60),Drax Project,Drax Project,Swim ,playlist
Good as Hell,Lizzo,Coconut Oil - EP,Swim ,playlist
abcdefu,GAYLE,a study of the human experience volume one - EP,Swim ,playlist
Tell It To My Heart (feat. Hozier),Meduza,Tell It To My Heart (feat. Hozier) - Single,Swim ,playlist
Overdrive,Conan Gray,Overdrive - Single,Swim ,playlist
I'm not Pretty,JESSIA,I'm not Pretty - Single,Swim ,playlist
No (feat. Cashinova),Prof & Cashinova,Pookie Baby,Swim ,playlist
Lose Yourself (From "8 Mile"),Eminem,Curtain Call: The Hits (Deluxe Edition),Swim ,playlist
As It Was,Harry Styles,Harry's House,Swim ,playlist
Numb,Marshmello & Khalid,Numb - Single,Swim ,playlist
Left and Right,Charlie Puth & Jung Kook,CHARLIE,Swim ,playlist
The Kind of Love We Make,Luke Combs,Growin' Up,Swim ,playlist
About Damn Time,Lizzo,Special,Swim ,playlist
